username,following,followers,date
Waechter2022,510,338,2022-01-25
f_philippot,876,319979,2022-01-25
antoine27955080,224,9305,2022-01-25
UPR_Asselineau,749,121471,2022-01-25
JaclineMouraud,532,8294,2022-01-25
jeanlassalle,451,68226,2022-01-25
ClaraEgger1,232,851,2022-01-25
AlexLanglois_,161,20260,2022-01-25
AnasseKazib,1643,61109,2022-01-25
HeleneThouy,513,9342,2022-01-25
Vukuzman,1251,18645,2022-01-25
philippejuvin,964,40411,2022-01-25
DenisPayre,1398,25951,2022-01-25
JLMelenchon,4840,2351898,2022-01-26
Fabien_Roussel,509,49847,2022-01-26
yjadot,1460,90730,2022-01-26
EmmanuelMacron,724,7568388,2022-01-26
n_arthaud,1421,22811,2022-01-26
vpecresse,1504,421215,2022-01-26
ZemmourEric,36,347964,2022-01-26
PhilippePoutou,18,205298,2022-01-26
Anne_Hidalgo,16677,1541073,2022-01-26
MLP_officiel,3273,2665521,2022-01-26
dupontaignan,470,292315,2022-01-26
larrouturou,49417,52131,2022-01-26
ChTaubira,399,829037,2022-01-26
Waechter2022,510,339,2022-01-26
f_philippot,878,320398,2022-01-26
antoine27955080,224,9301,2022-01-26
